id,url,school_link,school_number,student_number,sex,div_point,div,grades,school_name,school_tats
"1548678448-5364","https://matokeo.necta.go.tz/csee/csee.htm","P1556 DUNGA  CENTRE","https://matokeo.necta.go.tz/csee/results/p1556.htm","P1556/0001","F","35","0","CIV - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'F'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'","P1556 DUNGA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 34;  DIV-0 = 42"
"1548656364-43","https://matokeo.necta.go.tz/csee/csee.htm","S5464 KIKALA","https://matokeo.necta.go.tz/csee/results/s5464.htm","S5464/0001","F","29","IV","CIV - 'F'   HIST - 'D'   GEO - 'F'   KISW - 'C'   ENGL - 'C'   BIO - 'D'   B/MATH - 'F'","S5464 KIKALA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 7;  DIV-III = 12;  DIV-IV = 11;  DIV-0 = 1"
"1548674178-4265","https://matokeo.necta.go.tz/csee/csee.htm","S0857 LONGIDO","https://matokeo.necta.go.tz/csee/results/s0857.htm","S0857/0001","F","23","III","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'C'   ENGL - 'B'   BIO - 'D'   B/MATH - 'F'","S0857 LONGIDO SECONDARY SCHOOL","DIV-I = 6;  DIV-II = 74;  DIV-III = 102;  DIV-IV = 91;  DIV-0 = 10"
"1548677835-5105","https://matokeo.necta.go.tz/csee/csee.htm","P3694 MASASI FDC","https://matokeo.necta.go.tz/csee/results/p3694.htm","P3694/0001","F","-","0","CIV - 'F'   ENGL - 'D'   LIT ENG - 'F'   B/MATH - 'F'","P3694 MASASI FDC","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 26;  DIV-0 = 12"
"1548671387-3640","https://matokeo.necta.go.tz/csee/csee.htm","S1556 DUNGA","https://matokeo.necta.go.tz/csee/results/s1556.htm","S1556/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'F'   ENGL - 'F'   ARABIC LANGUAGE - 'F'   BIO - 'F'   B/MATH - 'F'","S1556 DUNGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 6;  DIV-IV = 45;  DIV-0 = 15"
"1548679192-5672","https://matokeo.necta.go.tz/csee/csee.htm","P0717 LAELA  CENTRE","https://matokeo.necta.go.tz/csee/results/p0717.htm","P0717/0001","F","-","IV","CIV - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'D'   PHY - 'D'","P0717 LAELA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 2;  DIV-IV = 7;  DIV-0 = 1"
"1548677833-5104","https://matokeo.necta.go.tz/csee/csee.htm","P3697 SONGEA TRC CENTRE","https://matokeo.necta.go.tz/csee/results/p3697.htm","P3697/0001","F","-","IV","CIV - 'D'   HIST - 'D'   ENGL - 'D'   LIT ENG - 'F'","P3697 SONGEA TRC CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 25;  DIV-0 = 10"
"1548666379-2489","https://matokeo.necta.go.tz/csee/csee.htm","S2773 VIWEGE","https://matokeo.necta.go.tz/csee/results/s2773.htm","S2773/0001","F","20","II","CIV - 'C'   HIST - 'C'   GEO - 'D'   KISW - 'B'   ENGL - 'C'   PHY - 'D'   CHEM - 'C'   BIO - 'C'   B/MATH - 'C'","S2773 VIWEGE SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 12;  DIV-III = 20;  DIV-IV = 117;  DIV-0 = 59"
"1548678384-5337","https://matokeo.necta.go.tz/csee/csee.htm","P1615 KINDERCARE TEACHERS COLLEGE CENTRE","https://matokeo.necta.go.tz/csee/results/p1615.htm","P1615/0001","F","-","IV","GEO - 'D'   ENGL - 'C'   LIT ENG - 'F'","P1615 KINDERCARE TEACHERS COLLEGE CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 82;  DIV-0 = 34"
"1548667320-2695","https://matokeo.necta.go.tz/csee/csee.htm","S2563 BULEKELA","https://matokeo.necta.go.tz/csee/results/s2563.htm","S2563/0001","F","24","III","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'C'   PHY - 'F'   CHEM - 'D'   BIO - 'C'   B/MATH - 'F'","S2563 BULEKELA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 5;  DIV-III = 6;  DIV-IV = 15;  DIV-0 = 25"
